dx,gb,dz,gb_energy
0.5,1,2.1,1.014557673
0.5,1,2.2,1.027126217
0.5,1,2.3,1.043138516
0.5,1,2.4,1.062399556
0.5,1,2.5,1.084694706
0.5,1,2.6,1.109757312
0.5,1,2.7,1.137205588
0.5,1,2.8,1.249130782
0.5,1,2.9,1.076747402
0.5,1,3,1.054688488
0.5,1,3.1,1.036773793
0.5,1,3.2,1.020644655
0.5,1,3.3,1.007902701
0.5,1,3.4,0.998615875
0.5,1,3.5,0.992818573
0.5,1,3.6,0.990538371
0.6,1,0,0.990432335
0.6,1,0.1,0.992184346
0.6,1,0.2,0.997436401
0.6,1,0.3,1.00616064
0.6,1,0.4,1.018314989
0.6,1,0.5,1.033828094
0.6,1,0.6,1.052635425
0.6,1,0.7,1.070436124
0.6,1,0.8,1.238703428
0.6,1,0.9,1.202029162
0.6,1,1,1.122008316
0.6,1,1.1,1.095955566
0.6,1,1.2,1.072640708
0.6,1,1.3,1.052397484
0.6,1,1.4,1.035459287
0.6,1,1.5,1.022046435
0.6,1,1.6,1.012253876
0.6,1,1.7,1.006235974
0.6,1,1.8,1.004032811
0.6,1,1.9,1.00567168
0.6,1,2,1.01113467
0.6,1,2.1,1.020360661
0.6,1,2.2,1.033262948
0.6,1,2.3,1.04969598
0.6,1,2.4,1.069474977
0.6,1,2.5,1.092347781
0.6,1,2.6,1.118027557
0.6,1,2.7,1.196806956
0.6,1,2.8,1.233207747
0.6,1,2.9,1.073797155
0.6,1,3,1.05228434
0.6,1,3.1,1.036401104
0.6,1,3.2,1.020383971
0.6,1,3.3,1.007732134
0.6,1,3.4,0.998504437
0.6,1,3.5,0.99274068
0.6,1,3.6,0.990470428
0.7,1,0,0.990605745
0.7,1,0.1,0.992365432
0.7,1,0.2,0.997635965
0.7,1,0.3,1.006382377
0.7,1,0.4,1.01856288
0.7,1,0.5,1.03407428
0.7,1,0.6,1.052858868
0.7,1,0.7,1.068631236
0.7,1,0.8,1.22199095
0.7,1,0.9,1.187273091
0.7,1,1,1.15459664
0.7,1,1.1,1.124855655
0.7,1,1.2,1.098500432
0.7,1,1.3,1.075822074
0.7,1,1.4,1.056994275
0.7,1,1.5,1.042151215
0.7,1,1.6,1.019240885
0.7,1,1.7,1.013063787
0.7,1,1.8,1.010799505
0.7,1,1.9,1.012481299
0.7,1,2,1.018270926
0.7,1,2.1,1.027563438
0.7,1,2.2,1.054559994
0.7,1,2.3,1.072805021
0.7,1,2.4,1.094942396
0.7,1,2.5,1.120761184
0.7,1,2.6,1.150032257
0.7,1,2.7,1.182319814
0.7,1,2.8,1.216818493
0.7,1,2.9,1.071929726
